App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Homestyler Interior Design & Decorating Ideas,17,4.1,78298,29.0,5000000,0,0.0,0,22,2018-08-02,3,4.1
ROBLOX,10,4.5,4443407,67.0,100000000,0,0.0,1,1,2018-07-31,2,4.1
HISTORY: Watch TV Show Full Episodes & Specials,8,4.1,33387,20.0,1000000,0,0.0,3,15,2018-07-16,3,4.4
Call Blocker & Blacklist,5,4.0,6,4.2,1000,0,0.0,0,11,2018-07-13,3,4.0
Makeup Editor -Beauty Photo Editor & Selfie Camera,23,4.5,3378,30.0,1000000,0,0.0,2,29,2018-07-25,1,4.1
The dollar in mexico,11,4.5,4254,3.2,100000,0,0.0,0,17,2017-08-29,2,4.0
CV EXAMPLES,3,4.1,423,20.0,100000,0,0.0,0,7,2018-06-07,11,4.029999999999999
Fulham FC,27,4.3,401,2.8,10000,0,0.0,0,37,2017-08-09,5,2.3
Ovia Fertility Tracker & Ovulation Calculator,19,4.8,53743,13.0,1000000,0,0.0,0,24,2018-07-27,0,4.3
Gardenscapes,13,4.6,4129665,0.0,50000000,0,0.0,0,9,2018-07-13,2,4.029999999999999
"Stop, Breathe & Think: Meditation & Mindfulness",14,4.3,8576,0.0,1000000,0,0.0,0,19,2018-07-28,0,0.0
Br Shafi,10,4.9,1288,26.0,10000,0,0.0,0,13,2018-07-11,1,4.1
WFVS 2018 | WhatApp Full Video Status & Downloader,24,4.3,596,22.0,50000,0,0.0,0,30,2018-07-04,1,4.1
Truck Driver Cargo,13,4.1,257531,44.0,10000000,0,0.0,1,32,2018-01-18,7,4.1
TravelPirates,29,4.8,43054,0.0,1000000,0,0.0,0,40,2018-08-06,0,0.0
X Home Bar - Free,28,4.6,4210,1.9,100000,0,0.0,0,39,2018-06-18,1,4.1
T-shirt design - Snaptee,17,4.2,29756,45.0,1000000,0,0.0,0,22,2018-07-19,1,4.1
